,restaurant_name,ratings,review,location,time
0,Nong Pee Tamsung,4.6/5,(42),"112/164 เอกชัย 20, จอมทอง, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        8:00 AM - 2:00 PM                                    
"
1,Black Canyon (Phyathai 3 Hospital),4.1/5,(48),"111 โรงพยาบาลพญาไท 3 ถนนเพชรเกษม แขวงปากคลองภาษีเจริญ เขตภาษีเจริญ, 10160 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 8:00 PM                                    
"
2,Khao Moo Deang Sut Boran Jae Lee,4.3/5,(27),"7/1 เทอดไท 33 ตลาดพลู ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 2:00 PM                                    
"
3,Krua Sakina by Yusup,4.6/5,(78),"645/4 ซอยต้นมะขาม,ถนนอิสรภาพ,หิรัญรูจี,ธนบุรี, 10600 Bangkok","

                                                                        Tue - Sun                                                                                        11:00 AM - 8:00 PM                                    
"
4,Mhoo Tord (Charoen Nakhon),4.1/5,(55),"1307  ถนนเจริญนคร บางลำพูล่าง คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        9:30 AM - 8:00 PM                                    
"
5,Bang Bao (Icon Siam),0,,"299 ถนนเจริญนคร, คลองต้นไทร, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:30 PM                                    
"
6,Larn Nah Kaed Klongsan,4.8/5,(5),"728 ถนนลาดหญ้า คลองสาน, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        8:30 AM - 4:00 PM                                    
"
7,Kanom Jean Ta Lay Kon (Talad Plu) Me Nam Ya,4.5/5,(20),"922/1 ซอยเทอดไทย 20, ตลาดพลู, ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:30 PM                                    
"
8,Leng Super Zab (Ladya),4.6/5,(44),"302,304 ถนนลาดหญ้า, คลองสาน, คลองสาน, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        11:00 AM - 2:00 PM,                                             4:30 PM - 10:00 PM                                    

                                                                        Sun                                                                                        4:30 PM - 10:00 PM                                    
"
9,Nid Khaomungai,4.6/5,(6),"222 ถ.ท่าดินแดง คลองสาน, 10600 Bangkok","

                                                                        Tue - Sun                                                                                        2:30 PM - 10:00 PM                                    
"
10,Piyo Coffee Brewer,4.6/5,(11),"399 ถนนสมเด็จเจ้าพระยา, คลองสาน, 10600 Bangkok","

                                                                        Mon - Fri                                                                                        8:30 AM - 4:00 PM                                    

                                                                        Sun                                                                                        9:00 AM - 4:00 PM                                    
"
11,Noii Tiew Ped,4.6/5,(54),"194 ถนนเทศบาลสาย 2,  วัดกัลยาณ์, ธนบุรี, 10600 Bangkok","

                                                                        Tue - Sun                                                                                        8:30 AM - 7:30 PM                                    
"
12,Yum Zap Jae Daeng,0,,"1232 สมเด็จพระเจ้าตากสิน 42 ดาวคะนอง ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        2:00 PM - 10:00 PM                                    
"
13,Guaytiew Lookchinpla Rue Char,3.5/5,(9),"519 ถนนสมเด็จเจ้าพระยา คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        8:00 AM - 8:00 PM                                    
"
14,Chester's (The Mall Tha Phra),4.6/5,(317),"เดอะมอลล์ท่าพระ ชั้น G 99 ถนนรัชดาภิเษก แขวงบุคคโล เขตธนบุรี, 10600 Bangkok","

                                                                        Mon - Fri                                                                                        11:00 AM - 8:00 PM                                    

                                                                        Sat,                                                                                                 Sun                                                                                        10:15 AM - 8:00 PM                                    
"
15,Flour Shoppe,4.5/5,(2k+),"เซ็นทรัลชิดลมชั้น G ถนนเพลินจิต เซ็นทรัล ฟู้ดฮอลล์, 10110 Bangkok","

                                                                        Mon - Sun                                                                                        8:00 AM - 9:00 PM,                                             8:15 AM - 8:45 PM                                    
"
16,The Star Cafe,0,,"67 จอมทอง จอมทอง, 10150 Bangkok","

                                                                        Mon,                                                                                                 Tue,                                                                                                 Thu - Sun                                                                                        10:30 AM - 8:30 PM                                    
"
17,Foxhole BKK,0,,"290/4 ถนนตะนาว แขวงศาลเจ้าพ่อเสือ เขตพระนคร, 10200 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 7:30 PM                                    
"
18,Khao Mun Kai Torn Jae Noi,3.7/5,(4),"907/1 ถนนอิสรภาพ หิรัญรูจี ธนบุรี, 10600 Bangkok","

                                                                        Mon - Fri,                                                                                                 Sun                                                                                        10:00 AM - 4:30 PM                                    
"
19,Arno's Burgers,4.6/5,(6k+),"2080/2 นราธิวาส ซอย 15 ยานนาวา, 10110 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 10:00 PM,                                             11:15 AM - 9:45 PM                                    
"
20,Sakura​ Milk & Bread​,4.7/5,(14),"52/3 วุฒากาศ 36/2, ถนนวุฒากาศ, บางค้อ, จอมทอง, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        12:30 PM - 10:00 PM                                    

                                                                        Sun                                                                                        1:30 PM - 9:00 PM                                    
"
21,Khao Soi Khao Mok Sut Chiang Rai,5/5,(1),"1232 ซอยจอมทอง 14 บางค้อ จอมทอง, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        11:00 AM - 9:00 PM                                    
"
22,A-Roi Cheap,5/5,(8),"5 เจริญนคร 1 คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:00 PM                                    
"
23,The Alley (Icon Siam),2/5,(2),"299 ถนนเจริญนคร คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:30 AM - 9:45 PM                                    
"
24,Koguma Express,0,,"2 ซอยอิสรภาพ 39 บ้านช่างหล่อ บางกอกน้อย, 10700 Bangkok","

                                                                        Mon - Sun                                                                                        10:30 AM - 7:30 PM                                    
"
25,Wine Connection (Sena Fest),4.5/5,(331),"542, 542/1 Sena Fest Charoennakorn Road, 10500 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:30 PM                                    
"
26,Fish Maw Yaowarat (Big C Itsaraphap),4.1/5,(11),"2 ถนนอิสรภาพ วัดกัลยาณ์ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:00 PM                                    
"
27,Guaytiew Mara Khun Eiw,4.4/5,(35),"132-134 ซอยรัชดาภิเษก 15 บุคคโล ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:30 PM                                    
"
28,Baitoey Goong Ob,0,,"ซอยสมเด็จพระเจ้าตากสิน 19 สำเหร่, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        4:00 PM - 9:00 PM                                    
"
29,Sizzler (The Riverside),4.4/5,(5),"ห้องเลขที่ 206 เลขที่ 257 ถนนเจริญนคร สำเหร่ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:30 PM                                    
"
