,Place_type,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity
0,restaurant,"{'location': {'lat': 13.7221525, 'lng': 100.4773152}, 'viewport': {'northeast': {'lat': 13.7234916302915, 'lng': 100.4786114802915}, 'southwest': {'lat': 13.7207936697085, 'lng': 100.4759135197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,09d923d10ff2d564b463c99f5c7c8a63da248d60,หมี่กรอบจีนหลี (เต็กเฮง) 符德興,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106536831736200157789"">หมี่กรอบจีนหลี (เต็กเฮง) 符德興</a>'], 'photo_reference': 'CmRaAAAA8PqEU-mgzjAnm7sBxgy4eh0hgqAJ0nNmCOteyCI6ejdI33doSNGbfIFbDuISDOWmSkv1iLKETaLGOY5mRp8vBP4RrzWzkEw-gbTkVJ-SAxNX79kGqMvUaqxrmvrKTo5rEhCYqox8ew3Da5ndctLvU8rzGhRdOMxFpiLe5Batlid6EpjuQ7tWAw', 'width': 2048}]",ChIJrTSW6FuY4jARc2IhhsnMNQQ,"{'compound_code': 'PFCG+VW Bangkok, Thailand', 'global_code': '7P52PFCG+VW'}",2,4,ChIJrTSW6FuY4jARc2IhhsnMNQQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",331,"326-330, แขวง ตลาดพลู, เขตธนบุรี"
1,restaurant,"{'location': {'lat': 13.717546, 'lng': 100.48516}, 'viewport': {'northeast': {'lat': 13.7188864802915, 'lng': 100.4864917802915}, 'southwest': {'lat': 13.7161885197085, 'lng': 100.4837938197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,4a9e92db191f0cd89b3ac5e824b137b27021097c,"บริษัท อินทัชธนกร จำกัด ( เต้าหู้ เส่งเฮง,น้ำสมุนไพร มีคุน )",,"[{'height': 315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111998941998592661201"">บริษัท อินทัชธนกร จำกัด ( เต้าหู้ เส่งเฮง,น้ำสมุนไพร มีคุน )</a>'], 'photo_reference': 'CmRaAAAAXwWfCHv8H7FRsvFk_BUW_kJOUYXW-5f3FvzNmPb9uZ2G23wLi2uqIjbQo-PrFnRsHGH4QUu3ZVPjofH2xJQ66zfIQg9zl49sbqXGVlTGRgF_xEzi3b_nYSJH4MhN0YF3EhBXfDVALaxYRhBuPzzoWENeGhTotUSMskz1fefR2srE1cRQCsnvVQ', 'width': 851}]",ChIJH1l3mPWY4jAREVkQwkR4Flw,"{'compound_code': 'PF9P+23 Bangkok, Thailand', 'global_code': '7P52PF9P+23'}",,,ChIJH1l3mPWY4jAREVkQwkR4Flw,GOOGLE,"['restaurant', 'food', 'health', 'point_of_interest', 'store', 'establishment']",,"Soi Somdet Phra Chao Tak Sin 18, Bukkhalo, Thon Buri"
2,restaurant,"{'location': {'lat': 13.7203859, 'lng': 100.4789155}, 'viewport': {'northeast': {'lat': 13.7217425802915, 'lng': 100.4802971302915}, 'southwest': {'lat': 13.7190446197085, 'lng': 100.4775991697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,5d6082cb48ce541ed234758dc14d6a7726ac6c3f,ถาวรเกี๊ยวซ่า ตลาดพลู,{'open_now': False},"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110494851427019138096"">Warinthorn BIK</a>'], 'photo_reference': 'CmRaAAAA7R7vtjysBBnhOBSpz9yr0AvcsonwQm3Udq0-2P05N5GIEGE9O9jqVvvO7Utk28coBjdU7UR03rAkv8sFHHLc1z25zBJ4y1XoN-IvE_mf_lHq6Qd8A_ZhX8UOdK85iAHiEhAmEwqDpie5jRU81T-seUjeGhSDUlQFYFEm0ev6Y4tufqAsBDgWkQ', 'width': 960}]",ChIJS3u5qF6Y4jARlwO3LnVWCBE,"{'compound_code': 'PFCH+5H Bangkok, Thailand', 'global_code': '7P52PFCH+5H'}",,4.5,ChIJS3u5qF6Y4jARlwO3LnVWCBE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4,"8, 2 ซอย วัดกันตะยาราม, Talat Phlu, Thon Buri"
3,restaurant,"{'location': {'lat': 13.7207626, 'lng': 100.4778489}, 'viewport': {'northeast': {'lat': 13.7222614302915, 'lng': 100.4791527302915}, 'southwest': {'lat': 13.7195634697085, 'lng': 100.4764547697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,80c76caa8a696bcdbd169d9c51c9a968456ea6f5,Tia Yentafo,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117302789382431716007"">Nat Iamsiribul</a>'], 'photo_reference': 'CmRaAAAA5EM9WoXbEvLnhcCG03nzKk2swnGL6fWxY0iTcOPBxIvs2vQR4t66sf-rz-lMHJqjPQx4js6AARZvFZDP3YPk4CP4SSFhTG2bB3CXgM92uxk5OmhS2HXFCcIeGurvn5_CEhAO1YTD6S9GsTvSlI4pn-KMGhQZJZl1knYuLpATwJuE95oOwxy5xg', 'width': 3024}]",ChIJS3QVqFyY4jARsrfMnvrC1GA,"{'compound_code': 'PFCH+84 Bangkok, Thailand', 'global_code': '7P52PFCH+84'}",,4,ChIJS3QVqFyY4jARsrfMnvrC1GA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",31,"1385/6, ถนน เทอดไท, Talat Phlu, Thon Buri"
4,restaurant,"{'location': {'lat': 13.720716, 'lng': 100.477685}, 'viewport': {'northeast': {'lat': 13.7220541802915, 'lng': 100.4788917802915}, 'southwest': {'lat': 13.7193562197085, 'lng': 100.4761938197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,01fab298f6f6a9fc2e23429046cd1f2cdee2f325,Poe Ngoen Dispensary,,"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115878322552001988999"">sih1688</a>'], 'photo_reference': 'CmRaAAAA4DlALVUcdW0sm11ZQAhPg8es3ZL-oyU0G0NU2UvLe1Z1l6gvG7ijouuyc2QOdV47fITCqv3gh3KgDoGrIKop_Ez0oTZQqq69uDUyRuSfqnbRcHvKjp6oVxHJ25_hHrw9EhAyA8Uio-zZ12K9HvaHzyoXGhRMtu2q4Yk0KXLuSsWIDCIbIMIZng', 'width': 3648}]",ChIJjV--7FuY4jAROMdo1qPF2Kc,"{'compound_code': 'PFCH+73 Bangkok, Thailand', 'global_code': '7P52PFCH+73'}",,2,ChIJjV--7FuY4jAROMdo1qPF2Kc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"854/8 Soi Thoet Thai 25, Talat Phlu, Thon Buri"
5,restaurant,"{'location': {'lat': 13.7208885, 'lng': 100.4775583}, 'viewport': {'northeast': {'lat': 13.7222912802915, 'lng': 100.4788910802915}, 'southwest': {'lat': 13.7195933197085, 'lng': 100.4761931197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,6d0d7317a4c746e5d4bb37804c77451d3395e61c,ยาโย่เค้ก,{'open_now': True},,ChIJm5c5lFuY4jARJrwAS9D8qIs,"{'compound_code': 'PFCH+92 Bangkok, Thailand', 'global_code': '7P52PFCH+92'}",,,ChIJm5c5lFuY4jARJrwAS9D8qIs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"1125 ถนน เทอดไท, Talat Phlu, Thon Buri"
6,restaurant,"{'location': {'lat': 13.7209797, 'lng': 100.4772522}, 'viewport': {'northeast': {'lat': 13.7223013302915, 'lng': 100.4786093802915}, 'southwest': {'lat': 13.7196033697085, 'lng': 100.4759114197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,50933dfbe8cbd26844a334856484ca1f307ed551,Louise Shrimp Wonton Noodle,{'open_now': True},"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101053930112951660186"">Mona Monday</a>'], 'photo_reference': 'CmRaAAAA2WmPCSmrkWFWKPSzKzferexbGKqOPS9v2o6xHVcX5IhlziLoIPX-KjlU3Q5WOOYaXI6zoJQq0Mja3__uRKP4Iow2gdHjN1ecjtgVnszSTtKQssYIPraweUsBZm5FjGqAEhDwbHyAIytntsYkrl32TLWjGhQDCYkMHvNAp1-GpUQA5xFj1NU31Q', 'width': 3648}]",ChIJrRtdlFuY4jARx1DqeDpfCGo,"{'compound_code': 'PFCG+9W Bangkok, Thailand', 'global_code': '7P52PFCG+9W'}",,3.9,ChIJrRtdlFuY4jARx1DqeDpfCGo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",14,"ตลาดรัชดาภิเษก, ถนน เทอดไท, Talat Phlu, Thon Buri"
7,restaurant,"{'location': {'lat': 13.7202459, 'lng': 100.4770071}, 'viewport': {'northeast': {'lat': 13.7216043802915, 'lng': 100.4783972302915}, 'southwest': {'lat': 13.7189064197085, 'lng': 100.4756992697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,f1205740b3b7e2059ba526f03dbbb38ca2ba3ac6,ฉอเล้ง หมี่กระเฉด ตลาดพลู,{'open_now': True},"[{'height': 1522, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102858441849703128592"">ฉอเล้ง หมี่กระเฉด ตลาดพลู</a>'], 'photo_reference': 'CmRaAAAAZn9_4_uyxwnkKSseiZWbb8qIY1dXzvx3t-wRHzGMzO7f9lETDdG1GdxV5Ozv7Y8jS-JqNDQvOPwqv0ZcxNXR1b5WBKktvX7MeocEsa1Aq43uYRuOLqRZZIoK_7_FrKJSEhB1wYzEwOpgiDpYeyC_aJO6GhTV7yOJzOuCYdYkMZyFeYRdzX2dMw', 'width': 1076}]",ChIJ026d7FuY4jARmnM2EpwSY9M,"{'compound_code': 'PFCG+3R Bangkok, Thailand', 'global_code': '7P52PFCG+3R'}",,3.9,ChIJ026d7FuY4jARmnM2EpwSY9M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",165,"Soi Thoetthai 25, Talat Phlu, Thon Buri"
8,restaurant,"{'location': {'lat': 13.7205926, 'lng': 100.4768795}, 'viewport': {'northeast': {'lat': 13.7219368802915, 'lng': 100.4782033302915}, 'southwest': {'lat': 13.7192389197085, 'lng': 100.4755053697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,a13bb40c3d0e8cc18d99e2fcac628d8546540877,อิ๋วผัดไทยหมี่กระเฉดตลาดพลูเทอดไท27,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110305607181640739535"">อิ๋วผัดไทยหมี่กระเฉดตลาดพลูเทอดไท27</a>'], 'photo_reference': 'CmRaAAAAv1AJd6fk36SNi86umQFqBn9Vm-kjMAmkmVcvvTbmKYbkd_wAp4yPC9-x1XrOuLNQSLF8DZ6_e7KcdzgA6id2m90KU2rBquUGNmUCfIjKUZs4E8BNw2z3GflyvZZMgbpWEhDVdOCdeQ0Dup--fLMFQ_tmGhTkSXhSK8mMUT8kd-VdPWAlyI4TVw', 'width': 1080}]",ChIJ1fn3bveY4jAR7WnV_-wrWC0,"{'compound_code': 'PFCG+6Q Bangkok, Thailand', 'global_code': '7P52PFCG+6Q'}",,3.7,ChIJ1fn3bveY4jAR7WnV_-wrWC0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",45,"1199 Thoet Thai 27 Alley, Talat Phlu, Thon Buri"
9,restaurant,"{'location': {'lat': 13.720763, 'lng': 100.476814}, 'viewport': {'northeast': {'lat': 13.7221129802915, 'lng': 100.4781682302915}, 'southwest': {'lat': 13.7194150197085, 'lng': 100.4754702697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,e3e44209cf8b07f6cbd6154e9543479bf922c1ff,กระเพาะปลาเจ๊เอ็ง ตลาดพลู - J.Aeng Fish maw soup,{'open_now': True},"[{'height': 400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112998433174913955310"">กระเพาะปลาเจ๊เอ็ง ตลาดพลู - J.Aeng Fish maw soup</a>'], 'photo_reference': 'CmRaAAAAf6H5ixNVtvAnZiaTuRAsEwY6y-LN6gegt97LksUkpWUw5040iwxtSj6BrDOAPq3VlflajaYr2EA8_jLJ2iu91rF03oDsWNjqCHxlxYkGdsD-kni9E6VMYbwuvyCj7uKzEhD0wgRL1Ev4G2tm5LEdqer6GhSF0s0Egv1U09VS7wv66496ZgIsEg', 'width': 600}]",ChIJTSlqmluY4jARSoJRLlOKN6U,"{'compound_code': 'PFCG+8P Bangkok, Thailand', 'global_code': '7P52PFCG+8P'}",,3.8,ChIJTSlqmluY4jARSoJRLlOKN6U,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",23,"1167 Thoet Thai 27 Alley, Talat Phlu, Thon Buri"
